bin start	count
-4.191	1
-4.115	1
-4.040	1
-3.964	0
-3.889	0
-3.813	1
-3.738	0
-3.662	1
-3.587	2
-3.511	1
-3.436	0
-3.360	0
-3.285	1
-3.209	3
-3.134	3
-3.058	1
-2.983	6
-2.907	7
-2.832	11
-2.756	9
-2.681	7
-2.606	18
-2.530	13
-2.455	24
-2.379	33
-2.304	34
-2.228	31
-2.153	43
-2.077	41
-2.002	49
-1.926	79
-1.851	71
-1.775	86
-1.700	101
-1.624	142
-1.549	140
-1.473	155
-1.398	190
-1.322	195
-1.247	231
-1.171	229
-1.096	258
-1.020	282
-0.945	327
-0.869	328
-0.794	375
-0.718	406
-0.643	383
-0.567	464
-0.492	421
-0.416	446
-0.341	437
-0.265	453
-0.190	498
-0.114	474
-0.039	470
0.037	441
0.112	453
0.188	431
0.263	462
0.339	421
0.414	440
0.490	443
0.565	380
0.641	361
0.716	347
0.792	354
0.867	305
0.943	320
1.018	253
1.094	230
1.169	216
1.245	216
1.320	210
1.395	170
1.471	171
1.546	155
1.622	127
1.697	121
1.773	110
1.848	104
1.924	93
1.999	75
2.075	70
2.150	52
2.226	61
2.301	53
2.377	52
2.452	43
2.528	43
2.603	44
2.679	28
2.754	36
2.830	32
2.905	26
2.981	33
3.056	22
3.132	21
3.207	12
3.283	17
3.358	17
3.434	12
3.509	19
3.585	14
3.660	11
3.736	9
3.811	14
3.887	11
3.962	9
4.038	7
4.113	15
4.189	7
4.264	13
4.340	9
4.415	4
4.491	10
4.566	8
4.642	6
4.717	8
4.793	9
4.868	5
4.944	7
5.019	11
5.095	13
5.170	4
5.246	3
5.321	6
5.396	6
5.472	5
5.547	1
5.623	4
5.698	5
5.774	3
5.849	1
5.925	5
6.000	6
6.076	1
6.151	2
6.227	4
6.302	1
6.378	2
6.453	1
6.529	0
6.604	2
6.680	5
6.755	1
6.831	0
6.906	0
6.982	0
7.057	1
7.133	3
7.208	0
7.284	0
7.359	2
7.435	0
7.510	0
7.586	0
7.661	0
7.737	1
7.812	0
7.888	4
7.963	1
8.039	0
8.114	0
8.190	0
8.265	0
8.341	0
8.416	1
8.492	0
8.567	2
8.643	1
8.718	1
8.794	0
8.869	0
8.945	0
9.020	0
9.096	1
9.171	0
9.247	0
9.322	0
9.397	0
9.473	0
9.548	0
9.624	1
9.699	0
9.775	0
9.850	1
9.926	1
10.001	0
10.077	0
10.152	0
10.228	0
10.303	1
10.379	0
10.454	0
10.530	0
10.605	0
10.681	0
10.756	0
10.832	0
10.907	0
10.983	0
11.058	1
11.134	0
11.209	0
11.285	0
11.360	0
11.436	0
11.511	0
11.587	0
11.662	0
11.738	0
11.813	0
11.889	2
11.964	0
12.040	0
12.115	0
12.191	0
12.266	0
12.342	2
12.417	0
12.493	0
12.568	0
12.644	0
12.719	0
12.795	1
12.870	0
12.946	0
13.021	0
13.097	0
13.172	0
13.248	0
13.323	0
13.398	1
13.474	0
13.549	0
13.625	0
13.700	0
13.776	0
13.851	0
13.927	0
14.002	0
14.078	0
14.153	0
14.229	0
14.304	0
14.380	0
14.455	0
14.531	1
14.606	0
14.682	0
14.757	0
14.833	0
14.908	0
14.984	0
15.059	1
