bin start	count
14.011	1
14.722	3
15.434	2
16.146	0
16.858	6
17.570	5
18.282	4
18.993	13
19.705	11
20.417	25
21.129	17
21.841	35
22.553	35
23.265	31
23.976	47
24.688	54
25.400	55
26.112	82
26.824	89
27.536	128
28.248	156
28.959	177
29.671	199
30.383	257
31.095	271
31.807	362
32.519	271
33.230	441
33.942	493
34.654	403
35.366	527
36.078	582
36.790	467
37.502	577
38.213	591
38.925	553
39.637	633
40.349	478
41.061	618
41.773	514
42.485	471
43.196	514
43.908	473
44.620	371
45.332	418
46.044	315
46.756	387
47.467	343
48.179	268
48.891	300
49.603	263
50.315	194
51.027	225
51.739	160
52.450	194
53.162	183
53.874	131
54.586	156
55.298	147
56.010	109
56.722	109
57.433	87
58.145	94
58.857	110
59.569	78
60.281	66
60.993	82
61.704	59
62.416	65
63.128	52
63.840	38
64.552	45
65.264	42
65.976	53
66.687	45
67.399	39
68.111	23
68.823	26
69.535	23
70.247	21
70.958	24
71.670	24
72.382	18
73.094	13
73.806	16
74.518	10
75.230	9
75.941	16
76.653	12
77.365	14
78.077	13
78.789	10
79.501	10
80.213	9
80.924	7
81.636	12
82.348	15
83.060	6
83.772	9
84.484	13
85.195	9
85.907	4
86.619	4
87.331	6
88.043	10
88.755	2
89.467	7
90.178	6
90.890	3
91.602	7
92.314	3
93.026	6
93.738	1
94.450	2
95.161	2
95.873	2
96.585	2
97.297	5
98.009	3
98.721	2
99.432	2
100.144	1
100.856	3
101.568	3
102.280	2
102.992	1
103.704	2
104.415	0
105.127	2
105.839	0
106.551	2
107.263	0
107.975	0
108.687	0
109.398	0
110.110	1
110.822	2
111.534	1
112.246	1
112.958	0
113.669	0
114.381	1
115.093	2
115.805	0
116.517	0
117.229	0
117.941	1
118.652	0
119.364	1
120.076	0
120.788	1
121.500	1
122.212	0
122.924	0
123.635	0
124.347	1
125.059	0
125.771	0
126.483	1
127.195	1
127.906	2
128.618	1
129.330	0
130.042	0
130.754	0
131.466	0
132.178	0
132.889	0
133.601	0
134.313	0
135.025	0
135.737	0
136.449	0
137.161	0
137.872	0
138.584	0
139.296	0
140.008	1
140.720	0
141.432	1
142.143	0
142.855	0
143.567	0
144.279	0
144.991	0
145.703	0
146.415	0
147.126	0
147.838	0
148.550	0
149.262	0
149.974	0
150.686	0
151.397	0
152.109	0
152.821	0
153.533	1
154.245	0
154.957	0
155.669	0
156.380	0
157.092	0
157.804	2
158.516	0
159.228	0
159.940	0
160.652	1
161.363	0
162.075	0
162.787	0
163.499	0
164.211	0
164.923	0
165.634	0
166.346	1
167.058	0
167.770	0
168.482	0
169.194	0
169.906	0
170.617	0
171.329	0
172.041	0
172.753	1
173.465	0
174.177	0
174.889	0
175.600	0
176.312	0
177.024	0
177.736	0
178.448	0
179.160	0
179.871	0
180.583	0
181.295	0
182.007	0
182.719	0
183.431	0
184.143	0
184.854	0
185.566	0
186.278	0
186.990	0
187.702	0
188.414	0
189.126	0
189.837	0
190.549	1
191.261	0
191.973	0
192.685	0
193.397	0
194.108	0
194.820	0
195.532	1
